Point{x=6.8, y=12.6, d1=6.555150646628954, d2=4.866210024238574, d3=3.176476034853718, clusterClass=3}
Point{x=0.8, y=9.8, d1=4.883646178829912, d2=10.198039027185569, d3=8.895504482602433, clusterClass=1}
Point{x=1.2, y=11.6, d1=6.020797289396148, d2=8.637129152675673, d3=8.414867794564572, clusterClass=1}
Point{x=2.8, y=9.6, d1=3.4885527085024814, d2=9.158602513484247, d3=6.963476143421473, clusterClass=1}
Point{x=3.8, y=9.9, d1=3.452535300326414, d2=8.407734534343955, d3=5.922837157984339, clusterClass=1}
Point{x=4.4, y=6.5, d1=0.0, d2=11.360017605620158, d3=6.942621983083912, clusterClass=1}
Point{x=4.8, y=1.1, d1=5.414794548272353, d2=16.53874239475299, d3=11.092339699089637, clusterClass=1}
Point{x=6.0, y=19.9, d1=13.49518432626987, d2=2.9681644159311658, d3=9.507891459203769, clusterClass=2}
Point{x=6.2, y=18.5, d1=12.134249049694011, d2=1.7804493814764861, d3=8.143709228600933, clusterClass=2}
Point{x=7.6, y=17.4, d1=11.360017605620158, d2=0.0, d3=6.609841147864295, clusterClass=2}
Point{x=7.8, y=12.2, d1=6.637017402418047, d2=5.203844732503074, d3=2.109502310972898, clusterClass=3}
Point{x=6.6, y=7.7, d1=2.505992817228333, d2=9.751410154434074, d3=4.534313619501853, clusterClass=1}
Point{x=8.2, y=4.5, d1=4.294182110716776, d2=12.91394595001853, d3=6.7468511173731995, clusterClass=1}
Point{x=8.4, y=6.9, d1=4.019950248448356, d2=10.530432089900202, d3=4.36806593356831, clusterClass=1}
Point{x=9.0, y=3.4, d1=5.5470712993434645, d2=14.069825869569245, d3=7.723341245859851, clusterClass=1}
Point{x=9.6, y=11.1, d1=6.942621983083912, d2=6.609841147864295, d3=0.0, clusterClass=3}
